codigo,nombre,descripcion
A493,"INFECCION POR MICOPLASMA, SITIO NO ESPECIFICADO",INFECCION BACTERIANA DE SITIO NO ESPECIFICADO
A498,OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO,INFECCION BACTERIANA DE SITIO NO ESPECIFICADO
A499,"INFECCION BACTERIANA, NO ESPECIFICADA",INFECCION BACTERIANA DE SITIO NO ESPECIFICADO
A500,"SIFILIS CONGENITA PRECOZ, SINTOMATICA",SIFILIS CONGENITA
A501,"SIFILIS CONGENITA PRECOZ, LATENTE",SIFILIS CONGENITA
A502,"SIFILIS CONGENITA PRECOZ, SIN OTRA ESPECIFICACION",SIFILIS CONGENITA
A503,OCULOPATIA SIFILITICA CONGENITA TARDIA,SIFILIS CONGENITA
A504,NEUROSIFILIS CONGENITA TARDIA [NEUROSIFILIS JUVENIL],SIFILIS CONGENITA
A505,"OTRAS FORMAS DE SIFILIS CONGENITA TARDIA, SINTOMATICA",SIFILIS CONGENITA
A506,"SIFILIS CONGENITA TARDIA, LATENTE",SIFILIS CONGENITA
A507,"SIFILIS CONGENITA TARDIA, SIN OTRA ESPECIFICACION",SIFILIS CONGENITA
A509,"SIFILIS CONGENITA, SIN OTRA ESPECIFICACION",SIFILIS CONGENITA
A510,SIFILIS GENITAL PRIMARIA,SIFILIS PRECOZ
A511,SIFILIS PRIMARIA ANAL,SIFILIS PRECOZ
A512,SIFILIS PRIMARIA EN OTROS SITIOS,SIFILIS PRECOZ
A513,SIFILIS SECUNDARIA DE PIEL Y MEMBRANAS MUCOSAS,SIFILIS PRECOZ
A514,OTRAS SIFILIS SECUNDARIAS,SIFILIS PRECOZ
A515,"SIFILIS PRECOZ, LATENTE",SIFILIS PRECOZ
A519,"SIFILIS PRECOZ, SIN OTRA ESPECIFICACION",SIFILIS PRECOZ
A520,SIFILIS CARDIOVASCULAR,SIFILIS TARDIA
A521,NEUROSIFILIS SINTOMATICA,SIFILIS TARDIA
A522,NEUROSIFILIS ASINTOMATICA,SIFILIS TARDIA
A523,NEUROSIFILIS NO ESPECIFICADA,SIFILIS TARDIA
A527,OTRAS SIFILIS TARDIAS SINTOMATICAS,SIFILIS TARDIA
A528,"SIFILIS TARDIA, LATENTE",SIFILIS TARDIA
A529,"SIFILIS TARDIA, NO ESPECIFICADA",SIFILIS TARDIA
A530,"SIFILIS LATENTE, NO ESPECIFICADA COMO PRECOZ O TARDIA",OTRAS SIFILIS Y LAS NO ESPECIFICADAS
A539,"SIFILIS, NO ESPECIFICADA",OTRAS SIFILIS Y LAS NO ESPECIFICADAS
A540,INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL Y DE GLANDULA ACCESORIA,INFECCION GONOCOCICA
A541,INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLANDULAS ACCESORIAS,INFECCION GONOCOCICA
